"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 30-Apr-2024"
"NIFTY NEXT 50","64,965.75","65,204.55","64,202.10","64,892.35","64,508.85","-","-383.50","-0.59","28,26,43,294","14,002.06","77,918.00","56,192.45","2.32","-0.60"
"JSWENERGY","465.80","486.85","463.05","464.60","478.20","-","13.60","2.93","55,06,434","263.66","804.90","418.75","-10.91","-23.88"
"LODHA","1,320.90","1,362.70","1,303.10","1,288.00","1,324.70","-","36.70","2.85","50,35,119","675.98","1,649.95","1,035.15","11.16","7.32"
"DLF","658.85","684.90","655.70","658.85","670.25","-","11.40","1.73","73,39,914","496.33","929.00","601.20","-0.91","-24.39"
"HYUNDAI","1,683.40","1,715.40","1,681.70","1,676.60","1,704.80","-","28.20","1.68","12,36,921","210.73","1,970.00","1,541.70","-","-"
"ICICIPRULI","603.80","621.90","601.30","605.25","613.00","-","7.75","1.28","12,38,587","76.13","796.80","515.45","8.86","7.24"
"IOC","136.50","139.90","136.45","135.78","137.25","-","1.47","1.08","3,99,02,398","551.89","185.97","110.72","7.96","-18.35"
"ICICIGI","1,860.00","1,890.70","1,847.20","1,856.10","1,875.10","-","19.00","1.02","9,06,449","170.03","2,301.90","1,480.50","4.67","9.70"
"PIDILITIND","3,006.90","3,043.70","2,988.30","3,005.00","3,030.00","-","25.00","0.83","4,86,485","147.09","3,415.00","2,622.20","6.48","-0.50"
"AMBUJACEM","540.00","546.20","533.05","533.95","537.90","-","3.95","0.74","58,51,731","316.72","706.95","453.05","0.25","-12.94"
"UNITDSPR","1,536.10","1,569.00","1,536.10","1,545.90","1,555.20","-","9.30","0.60","7,05,329","110.23","1,700.00","1,136.30","11.60","-"
"DABUR","483.60","490.45","482.35","483.65","486.00","-","2.35","0.49","21,95,362","106.93","672.00","433.30","-3.70","-3.94"
"CHOLAFIN","1,480.00","1,503.30","1,465.60","1,484.50","1,490.10","-","5.60","0.38","25,25,455","375.90","1,682.00","1,161.15","-1.83","25.05"
"VEDL","418.30","423.25","413.65","416.30","417.20","-","0.90","0.22","1,35,07,492","565.46","526.95","363.00","-9.54","5.37"
"BOSCHLTD","29,195.00","29,685.00","29,065.00","29,165.00","29,230.00","-","65.00","0.22","30,652","90.26","39,088.80","25,921.60","3.87","0.34"
"TORNTPHARM","3,322.70","3,360.00","3,287.10","3,322.70","3,326.30","-","3.60","0.11","11,48,944","383.29","3,590.70","2,519.95","2.91","25.71"
"GODREJCP","1,260.00","1,275.70","1,239.70","1,262.70","1,264.00","-","1.30","0.10","13,44,364","169.92","1,541.85","979.50","8.73","3.36"
"NAUKRI","7,059.00","7,155.00","6,965.00","7,059.00","7,062.00","-","3.00","0.04","2,70,729","191.83","9,128.90","5,250.00","-1.56","16.78"
"ZYDUSLIFE","888.00","901.85","883.00","888.05","885.40","-","-2.65","-0.30","9,07,542","80.95","1,324.30","795.00","0.21","-6.85"
"JINDALSTEL","895.55","907.80","888.40","895.45","892.50","-","-2.95","-0.33","10,48,167","94.18","1,097.00","723.35","-1.83","-3.66"
